"dist_id","dist_name","dist_code","state_id","is_active","lang_id","old_dist_code","old_dist_name","ro_id"
94,WEST CHAMPARAN,"34",4,true,100,,,1
135,CHHOTAUDEPUR,"34",6,true,99,,,2
267,SATNA,"34",12,true,100,,,9
321,BHANDARA,"34",13,true,107,,,4
451,SRI GANGANAGAR-II,"34",20,true,100,,,7
524,ALIGARH,"34",24,true,100,,,5
95,SHEOHAR,"35",4,true,100,,,1
268,SHAJAPUR,"35",12,true,100,,,9
525,HAMIRPUR,"35",24,true,100,,,5
96,LAKHISARAI,"36",4,true,100,,,1
269,SHEOPUR,"36",12,true,100,,,9
526,MAINPURI,"36",24,true,100,,,5
97,ROHTAS,"37",4,true,100,,,1
270,KHANDWA,"37",12,true,100,,,9
527,ETAWAH,"37",24,true,100,,,5
98,ARWAL,"38",4,true,100,,,1
271,TIKAMGARH,"38",12,true,100,,,9
528,SIDDHARTHNAGAR,"38",24,true,100,,,5
99,GAYA-II,"39",4,true,100,,,1
272,UJJAIN - I,"39",12,true,100,,,9
529,FIROZABAD,"39",24,true,100,,,5
273,VIDISHA,"40",12,true,100,,,9
530,SAMBHAL,"40",24,true,100,,,5
274,HARDA,"41",12,true,100,,,9
531,JALAUN,"41",24,true,100,,,5
275,NEEMUCH,"42",12,true,100,,,9
1077,SURYAPET,"15",34,true,115,"",NALGONDA,3
130,DEVBHOOMI DWARKA,"29",6,true,99,,DWARKA,2
1106,SHI YOMI,"18",2,true,100,"",WEST SIANG,8
532,KANPUR DEHAT,"42",24,true,100,,,5
276,DINDORI,"43",12,true,100,,,9
533,MAHARAJGANJ,"43",24,true,100,,,5
277,BARWANI,"44",12,true,100,,,9
534,PILIBHIT,"44",24,true,100,,,5
278,GUNA,"45",12,true,100,,,9
535,PRATAPGARH,"45",24,true,100,,,5
279,ANUPPUR,"46",12,true,100,,,9
536,SHAHJAHANPUR,"46",24,true,100,,,5
280,BURHANPUR,"47",12,true,100,,,9
537,BAGHPAT,"47",24,true,100,,,5
281,UMARIA,"48",12,true,100,,,9
538,FATEHPUR,"48",24,true,100,,,5
282,UJJAIN - II,"49",12,true,100,,,9
539,J P NAGAR,"49",24,true,100,,,5
283,JHABUA - II,"50",12,true,100,,,9
540,HATHRAS,"50",24,true,100,,,5
284,AGAR MALWA,"51",12,true,100,,,9
541,LUCKNOW,"51",24,true,100,,,5
285,JHABUA - I,"52",12,true,100,,,9
542,SAHARANPUR,"52",24,true,100,,,5
286,SINGRAULI,"53",12,true,100,,,9
543,CHITRAKOOT,"53",24,true,100,,,5
287,RATLAM-II,"54",12,true,100,,,9
544,LAKHIMPUR KHERI,"54",24,true,100,,,5
545,VARANASI,"55",24,true,100,,,5
546,CHANDAULI,"56",24,true,100,,,5
547,KAUSHAMBI,"57",24,true,100,,,5
548,AURAIYA,"58",24,true,100,,,5
549,BALRAMPUR,"59",24,true,100,,,5
594,BIJAPUR,"28",25,true,100,,,10
452,PRATAPGARH ,"35",20,true,100,,,7
550,MORADABAD,"60",24,true,100,,,5
551,SONEBHADRA,"61",24,true,100,,,5
552,SANT KABIR NAGAR,"62",24,true,100,,,5
553,KANNAUJ,"63",24,true,100,,,5
554,BANDA,"64",24,true,100,,,5
555,GHAZIABAD,"65",24,true,100,,,5
556,MAHOBA,"66",24,true,100,,,5
557,AMBEDKAR NAGAR,"67",24,true,100,,,5
558,SHRAWASTI,"68",24,true,100,,,5
559,DEORIA,"69",24,true,100,,,5
560,RAMPUR,"70",24,true,100,,,5
561,SITAPUR-II,"71",24,true,100,,,5
562,SHAMLI,"72",24,true,100,,,5
563,KASGANJ,"73",24,true,100,,,5
564,BADAYUN,"74",24,true,100,,,5
565,SULTANPUR,"75",24,true,100,,,5
566,HAPUR,"76",24,true,100,,,5
59,WEST KARBI ANGLONG-I(KARBI ANGLONG-II),"27",3,true,95,,KARBI ANGLONG-II,8
1110,MAJULI,"29",3,true,95,"",JORHAT,8
